Temporada,Mes,Consum_Tram1,Consum_Tram2,Consum_Tram3,Total Factura
2013,Gener,3330,0,0,9460.59
2013,Febrer,3128,0,0,8854.42
2013,Març,2959,0,0,8347.28
2013,Abril,3381,0,0,9613.63
2013,Maig,3478,0,0,9904.72
2013,Juny,3361,0,0,9553.64
2013,Juliol,7518,0,0,22028.16
2013,Agost,3027,0,0,8551.33
2013,Septembre,3195,0,0,9055.48
2013,Octubre,3834,0,0,10973.03
2013,Novembre,3354,0,0,9532.61
2013,Decembre,2742,0,0,7696.1
2014,Gener,2791,0,0,8226.87
2014,Febrer,2630,0,0,7908.03
2014,Març,3036,0,0,9218.05
2014,Abril,2651,0,0,7975.8
2014,Maig,2894,0,0,8759.9
2014,Juny,3090,0,0,9392.34
2014,Juliol,2896,0,0,8766.36
2014,Agost,2788,0,0,8417.85
2014,Septembre,3140,0,0,9553.68
2014,Octubre,3233,0,0,9853.8
2014,Novembre,3049,0,0,9260.06
2014,Decembre,2594,0,0,7913.69
2015,Gener,1800,794,0,7913.69
2015,Febrer,0,2572,0,7552.96
2015,Març,1788,1204,0,9280.03
2015,Abril,1800,864,0,8177.82
2015,Maig,12,2445,0,7496.29
2015,Juny,1788,1642,0,10739
2015,Juliol,3236,0,0,10061.14
2015,Agost,2758,0,0,8487.3
2015,Septembre,12,2746,0,8487.3
2015,Octubre,12,2859,0,8859.33
2015,Novembre,12,2574,0,7921.02
2015,Decembre,12,2848,0,8823.12
2016,Gener,12,2486,0,7631.29
2016,Març,12,2323,0,7094.65
2016,Abril,12,3055,0,9504.64
2016,Maig,12,2325,0,7321.87
2016,Juny,12,2713,0,8378.66
2016,Juliol,12,2862,0,8869.21
2016,Agost,12,2631,0,8108.69
2016,Septembre,12,2914,0,9040.42
2016,Octubre,12,2715,0,8668.23
2016,Novembre,12,3079,0,9485.73
2016,Febrer,12,2583,0,7911.5
2017,Febrer,12,2295,0,6897.45
2017,Març,12,2738,0,8333.79
2017,Abril,12,2185,0,6570.02
2017,Juliol,12,2809,0,8600.15
2017,Agost,13,2600,0,7978.45
2017,Septembre,12,2772,0,8479.78
2017,Octubre,12,2560,0,7790.06
2017,Novembre,12,2494,0,7575.32
